student_number,course,birthdate,nationality,civil_status,gender,municipality,payment_status,balance,has_scholarship,number_of_units_enrolled,academic_probation_status,last_term_GWA,will_graduate
22-4800,Cybersecurity (BSCSEC),2000-09-20,Filipino,Single,Female,Rodriguez,Paid,0,False,18,advising,1.0,No
22-6736,Business Solutions & Applications (BSBA‑BSAA),2004-11-26,Filipino,Single,Male,Taguig,Paid,0,True,15,,3.5,Yes
22-5918,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-10-10,Filipino,Single,Male,Mandaluyong,Paid,0,False,15,,4.0,Yes
22-3285,Business Solutions & Applications (BSBA‑BSAA),2007-11-14,Vietnamese,Single,Female,Quezon City,Paid,0,False,18,,3.0,Yes
22-4309,Cybersecurity (BSCSEC),2004-01-21,Filipino,Single,Female,San Mateo,Paid,0,False,21,,3.0,Yes
22-1349,Human Resource Management (BSBA‑HRM),2003-07-08,Filipino,Single,Male,Bacoor,Paid,0,False,24,,4.0,Yes
22-7256,Business Solutions & Applications (BSBA‑BSAA),2002-01-16,Filipino,Single,Male,San Mateo,Paid,0,False,15,monitoring,3.0,No
22-1925,Business Solutions & Applications (BSBA‑BSAA),2007-07-27,Filipino,Single,Male,Imus,Paid,0,False,15,,4.0,Yes
22-3557,Human Resource Management (BSBA‑HRM),2007-06-26,Filipino,Single,Male,San Juan,Paid,0,False,24,monitoring,3.5,No
22-8899,Business Intelligence & Analytics (BSBA‑BIA),2002-05-25,Filipino,Single,Male,Pasay,With Balance,25248,False,15,,3.5,Yes
22-7786,Human Resource Management (BSBA‑HRM),2004-12-12,Filipino,Single,Female,San Juan,With Balance,21647,False,24,,1.0,No
22-5868,Information Systems (BS‑IS),2002-06-05,Filipino,Single,Male,Taguig,Paid,0,False,15,,4.0,Yes
22-2838,Business Solutions & Applications (BSBA‑BSAA),2006-08-08,Filipino,Single,Female,Makati,Paid,0,False,24,,4.0,Yes
22-7033,Business Intelligence & Analytics (BSBA‑BIA),2006-09-01,Japanese,Single,Male,Makati,Paid,0,False,24,,4.0,Yes
22-8944,Business Solutions & Applications (BSBA‑BSAA),2006-01-08,Filipino,Single,Female,Pasay,Paid,0,False,18,,3.0,Yes
22-5001,Business Solutions & Applications (BSBA‑BSAA),2005-03-09,Filipino,Single,Female,Makati,With Balance,21050,False,24,,2.0,No
22-3186,Human Resource Management (BSBA‑HRM),2000-11-07,Filipino,Single,Male,Navotas,Paid,0,True,15,,3.0,Yes
22-7384,Cybersecurity (BSCSEC),2006-10-15,Chinese,Single,Female,Mandaluyong,With Balance,30728,False,24,restrictions,3.0,No
22-5572,Human Resource Management (BSBA‑HRM),2007-12-06,Filipino,Single,Male,Taguig,Paid,0,False,21,restrictions,1.0,No
22-4652,Business Intelligence & Analytics (BSBA‑BIA),2000-07-06,Filipino,Single,Female,Taguig,Paid,0,False,21,,4.0,Yes
22-9833,Information Systems (BS‑IS),2005-09-17,Filipino,Single,Male,Marikina,Paid,0,False,18,,4.0,Yes
22-4326,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-09-05,Filipino,Single,Female,Cainta,Paid,0,True,24,,3.0,Yes
22-7230,Human Resource Management (BSBA‑HRM),2001-07-27,Filipino,Single,Female,Bacoor,Paid,0,False,21,monitoring,4.0,No
22-9845,Human Resource Management (BSBA‑HRM),2005-07-10,Korean,Single,Female,Pasay,Paid,0,True,18,,3.0,Yes
22-6922,Human Resource Management (BSBA‑HRM),2002-09-20,Filipino,Single,Female,Navotas,Paid,0,False,24,,3.5,Yes
22-4999,Business Intelligence & Analytics (BSBA‑BIA),2004-07-02,Filipino,Single,Female,Pasig,Paid,0,False,18,,3.5,Yes
22-1804,Human Resource Management (BSBA‑HRM),2004-11-16,Filipino,Single,Male,Valenzuela,Paid,0,False,18,,3.0,Yes
22-4747,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-12-23,Filipino,Single,Female,Valenzuela,With Balance,14708,False,21,,3.5,Yes
22-2185,Business Solutions & Applications (BSBA‑BSAA),2000-09-21,Filipino,Single,Female,Pasig,Paid,0,False,15,,4.0,Yes
22-1030,Human Resource Management (BSBA‑HRM),2006-02-02,Filipino,Married,Female,Quezon City,With Balance,15985,False,24,,3.5,Yes
22-1288,Information Systems (BS‑IS),2007-05-20,Filipino,Single,Male,Pasay,Paid,0,False,21,,1.0,No
22-7822,Human Resource Management (BSBA‑HRM),2007-09-18,Filipino,Married,Male,Pasig,Paid,0,False,15,,2.0,No
22-5486,Business Intelligence & Analytics (BSBA‑BIA),2003-09-19,Filipino,Single,Female,Manila,With Balance,31044,False,15,,3.0,Yes
22-9451,Human Resource Management (BSBA‑HRM),2002-04-22,Filipino,Married,Male,Valenzuela,Paid,0,False,21,,4.0,Yes
22-4263,Cybersecurity (BSCSEC),2007-02-09,Filipino,Single,Female,Marikina,Paid,0,False,18,,3.0,Yes
21-3912,Business Intelligence & Analytics (BSBA‑BIA),2002-09-22,Filipino,Single,Male,Quezon City,With Balance,32284,False,21,monitoring,2.0,No
21-9970,Business Intelligence & Analytics (BSBA‑BIA),2002-07-20,Filipino,Single,Male,Muntinlupa,Paid,0,False,18,,4.0,Yes
21-2038,Business Solutions & Applications (BSBA‑BSAA),2004-04-02,Filipino,Single,Male,Parañaque,Paid,0,True,18,,3.0,Yes
21-3489,Cybersecurity (BSCSEC),2003-09-08,Filipino,Single,Male,Imus,Paid,0,False,24,,4.0,Yes
21-5358,Business Intelligence & Analytics (BSBA‑BIA),2005-12-17,Filipino,Single,Male,Antipolo,Paid,0,False,15,,3.5,Yes
21-5027,Cybersecurity (BSCSEC),2000-09-11,Filipino,Single,Male,Marikina,Paid,0,False,24,,3.5,Yes
21-1454,Cybersecurity (BSCSEC),2001-09-05,Filipino,Single,Male,Taguig,Paid,0,True,15,,3.5,Yes
21-8709,Human Resource Management (BSBA‑HRM),2003-10-04,Filipino,Single,Female,Marikina,Paid,0,False,18,,3.5,Yes
21-9648,Information Systems (BS‑IS),2004-09-13,Filipino,Single,Male,Malabon,Paid,0,False,24,,2.0,No
21-8249,Business Intelligence & Analytics (BSBA‑BIA),2006-07-24,Filipino,Single,Female,Marikina,Paid,0,False,15,,4.0,Yes
21-9466,Human Resource Management (BSBA‑HRM),2002-06-27,Filipino,Single,Female,Manila,Paid,0,False,21,advising,4.0,No
21-6383,Human Resource Management (BSBA‑HRM),2007-06-05,Filipino,Single,Female,San Mateo,Paid,0,False,15,,3.5,Yes
21-9572,Business Intelligence & Analytics (BSBA‑BIA),2005-03-09,Filipino,Single,Male,Muntinlupa,Paid,0,False,21,,2.0,No
21-9440,Business Solutions & Applications (BSBA‑BSAA),2003-01-07,Chinese,Single,Female,San Juan,Paid,0,False,24,restrictions,3.0,No
21-6664,Business Intelligence & Analytics (BSBA‑BIA),2007-04-10,Filipino,Single,Male,Marikina,Paid,0,False,21,,3.5,Yes
21-9019,Business Solutions & Applications (BSBA‑BSAA),2007-08-02,Filipino,Single,Male,Rodriguez,Paid,0,False,15,,3.5,Yes
21-7379,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-10-16,Filipino,Single,Female,Taguig,Paid,0,False,18,,3.5,Yes
21-6621,Human Resource Management (BSBA‑HRM),2006-09-28,Filipino,Single,Male,Antipolo,Paid,0,False,15,,3.5,Yes
21-6140,Human Resource Management (BSBA‑HRM),2004-04-02,Filipino,Single,Male,Taguig,Paid,0,False,24,,2.0,No
21-7952,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-07-11,Filipino,Single,Female,San Juan,Paid,0,False,15,,2.0,No
21-8203,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-08-04,Filipino,Single,Female,Mandaluyong,Paid,0,False,18,,3.0,Yes
21-2927,Business Intelligence & Analytics (BSBA‑BIA),2007-09-20,Filipino,Single,Female,Bacoor,Paid,0,False,15,,3.5,Yes
21-9680,Business Solutions & Applications (BSBA‑BSAA),2005-11-18,Filipino,Single,Male,Navotas,Paid,0,False,21,,2.0,No
21-4329,Business Intelligence & Analytics (BSBA‑BIA),2005-06-19,Filipino,Single,Female,Taguig,Paid,0,False,21,,3.0,Yes
21-2564,Business Solutions & Applications (BSBA‑BSAA),2004-01-01,Filipino,Single,Male,Navotas,Paid,0,False,18,,1.0,No
21-1834,Cybersecurity (BSCSEC),2004-01-15,Filipino,Single,Male,Rodriguez,With Balance,15782,False,21,,3.5,Yes
21-8429,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-05-19,Filipino,Single,Male,Parañaque,With Balance,29548,False,24,,2.0,No
21-7682,Information Systems (BS‑IS),2005-05-15,Filipino,Single,Female,San Mateo,With Balance,33823,False,18,,3.5,Yes
21-2096,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-04-19,Filipino,Single,Male,Valenzuela,Paid,0,False,15,,4.0,Yes
21-7574,Business Intelligence & Analytics (BSBA‑BIA),2001-08-10,Filipino,Single,Female,Quezon City,Paid,0,False,24,,4.0,Yes
21-5808,Business Intelligence & Analytics (BSBA‑BIA),2001-07-22,Filipino,Single,Female,Pasig,With Balance,24346,False,15,,2.0,No
21-8679,Business Intelligence & Analytics (BSBA‑BIA),2006-04-24,Chinese,Single,Female,Mandaluyong,Paid,0,False,15,,4.0,Yes
21-9974,Information Systems (BS‑IS),2007-12-14,Filipino,Single,Male,Navotas,Paid,0,True,21,,1.0,Yes
21-7492,Information Systems (BS‑IS),2003-10-03,Filipino,Single,Female,Marikina,Paid,0,False,24,monitoring,3.5,No
21-8657,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-11-02,Filipino,Single,Male,Pasay,Paid,0,False,21,advising,3.5,No
21-2059,Business Solutions & Applications (BSBA‑BSAA),2000-12-20,Filipino,Single,Male,Pasig,With Balance,11816,False,24,,3.5,Yes
21-6291,Business Solutions & Applications (BSBA‑BSAA),2000-06-08,Filipino,Single,Male,Bacoor,Paid,0,False,24,,3.5,Yes
21-6487,Business Solutions & Applications (BSBA‑BSAA),2002-09-24,Filipino,Single,Male,Parañaque,Paid,0,False,15,,3.5,Yes
21-4060,Business Intelligence & Analytics (BSBA‑BIA),2006-08-28,Filipino,Single,Female,Las Piñas,With Balance,14370,False,24,advising,4.0,No
21-1182,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-11-12,Vietnamese,Single,Male,Cainta,Paid,0,False,24,,2.0,No
21-5373,Business Solutions & Applications (BSBA‑BSAA),2002-04-11,Filipino,Single,Female,Bacoor,With Balance,28393,False,24,,2.0,No
21-5038,Business Solutions & Applications (BSBA‑BSAA),2000-01-13,Filipino,Single,Female,Makati,Paid,0,False,24,,3.5,Yes
21-4289,Human Resource Management (BSBA‑HRM),2004-10-11,Filipino,Single,Male,Navotas,Paid,0,False,21,,3.5,Yes
21-1325,Information Systems (BS‑IS),2007-07-23,Filipino,Single,Female,Valenzuela,Paid,0,False,24,advising,2.0,No
21-8070,Cybersecurity (BSCSEC),2003-03-26,Filipino,Single,Female,Navotas,Paid,0,True,15,,4.0,Yes
21-5419,Human Resource Management (BSBA‑HRM),2001-03-19,Filipino,Single,Female,Quezon City,Paid,0,False,21,,3.0,Yes
21-5948,Human Resource Management (BSBA‑HRM),2001-03-13,Filipino,Single,Male,Manila,Paid,0,False,15,,3.0,Yes
21-1195,Business Solutions & Applications (BSBA‑BSAA),2000-09-04,Filipino,Single,Female,Manila,Paid,0,False,15,,2.0,No
21-6555,Human Resource Management (BSBA‑HRM),2003-06-21,Filipino,Single,Female,Rodriguez,Paid,0,False,15,,1.0,No
21-2592,Human Resource Management (BSBA‑HRM),2006-10-10,Filipino,Single,Male,Mandaluyong,With Balance,39678,False,24,,2.0,No
21-5231,Business Intelligence & Analytics (BSBA‑BIA),2001-03-23,Filipino,Single,Male,Pasay,Paid,0,False,21,,2.0,No
21-5316,Human Resource Management (BSBA‑HRM),2005-10-03,Filipino,Single,Male,Manila,Paid,0,False,21,,3.5,Yes
21-6799,Human Resource Management (BSBA‑HRM),2001-07-13,Filipino,Single,Male,Caloocan,Paid,0,True,21,,3.5,Yes
21-9213,Human Resource Management (BSBA‑HRM),2006-05-21,Filipino,Single,Male,Antipolo,With Balance,33148,False,21,,2.0,No
21-3082,Cybersecurity (BSCSEC),2000-08-05,American,Single,Female,Pasay,With Balance,23540,False,15,,3.0,Yes
21-6964,Cybersecurity (BSCSEC),2005-08-09,Filipino,Single,Male,Muntinlupa,Paid,0,False,18,,1.0,No
21-9488,Business Solutions & Applications (BSBA‑BSAA),2004-11-27,Filipino,Single,Female,Antipolo,Paid,0,False,15,,4.0,Yes
21-7276,Human Resource Management (BSBA‑HRM),2003-03-12,Filipino,Single,Male,Navotas,Paid,0,False,18,,4.0,Yes
21-3851,Human Resource Management (BSBA‑HRM),2003-05-04,Filipino,Single,Female,Muntinlupa,Paid,0,False,15,,1.0,No
21-3198,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-02-28,Filipino,Single,Male,Valenzuela,Paid,0,False,15,monitoring,3.0,No
21-5690,Business Solutions & Applications (BSBA‑BSAA),2003-06-22,Filipino,Single,Female,San Juan,Paid,0,False,18,,4.0,Yes
21-3026,Cybersecurity (BSCSEC),2006-11-24,Filipino,Single,Male,Valenzuela,Paid,0,False,21,,3.0,Yes
21-3224,Cybersecurity (BSCSEC),2001-02-22,Filipino,Single,Male,Antipolo,With Balance,37727,False,18,,3.0,Yes
21-9949,Human Resource Management (BSBA‑HRM),2007-10-25,Filipino,Single,Female,Pasig,Paid,0,False,18,,4.0,Yes
21-5320,Business Intelligence & Analytics (BSBA‑BIA),2007-08-15,Filipino,Single,Female,Parañaque,Paid,0,False,18,,3.0,Yes
21-9538,Human Resource Management (BSBA‑HRM),2005-03-03,Filipino,Single,Female,Valenzuela,Paid,0,False,24,,4.0,Yes
21-7491,Cybersecurity (BSCSEC),2007-09-27,Filipino,Single,Male,Imus,Paid,0,False,18,,3.0,Yes
21-6096,Human Resource Management (BSBA‑HRM),2007-01-13,Filipino,Single,Male,Imus,Paid,0,False,18,restrictions,4.0,No
21-6197,Business Solutions & Applications (BSBA‑BSAA),2001-07-23,Filipino,Single,Female,Valenzuela,Paid,0,False,24,,3.0,Yes
21-9516,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-04-23,Filipino,Single,Male,Rodriguez,With Balance,35567,False,21,,3.0,Yes
21-2880,Cybersecurity (BSCSEC),2005-12-15,Filipino,Single,Female,Bacoor,Paid,0,True,21,,3.5,Yes
21-7922,Business Intelligence & Analytics (BSBA‑BIA),2003-09-26,Filipino,Single,Female,Las Piñas,Paid,0,False,24,,3.0,Yes
21-8842,Human Resource Management (BSBA‑HRM),2002-03-01,Filipino,Single,Male,Manila,Paid,0,False,21,,2.0,No
21-7819,Human Resource Management (BSBA‑HRM),2006-03-11,Filipino,Single,Female,Taguig,Paid,0,False,15,,3.5,Yes
21-2608,Information Systems (BS‑IS),2000-11-17,Filipino,Single,Female,Antipolo,With Balance,18942,False,18,,3.5,Yes
21-5800,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-07-12,Filipino,Single,Female,Antipolo,Paid,0,False,21,advising,3.0,No
21-3544,Cybersecurity (BSCSEC),2001-03-21,Filipino,Single,Male,San Juan,With Balance,25181,False,21,,3.0,Yes
21-9154,Human Resource Management (BSBA‑HRM),2004-12-26,Filipino,Single,Female,San Mateo,Paid,0,False,18,,4.0,Yes
21-8169,Human Resource Management (BSBA‑HRM),2004-01-16,Filipino,Single,Male,Antipolo,Paid,0,True,24,restrictions,1.0,No
21-1577,Human Resource Management (BSBA‑HRM),2004-07-13,Filipino,Married,Female,Imus,Paid,0,False,15,,3.0,Yes
21-3789,Business Solutions & Applications (BSBA‑BSAA),2003-06-13,Filipino,Single,Male,Quezon City,Paid,0,False,18,,1.0,No
21-7090,Cybersecurity (BSCSEC),2005-06-18,Filipino,Single,Female,Malabon,With Balance,25550,False,15,,3.0,Yes
21-3881,Human Resource Management (BSBA‑HRM),2003-11-20,Filipino,Single,Female,Marikina,Paid,0,False,15,,3.5,Yes
21-5264,Information Systems (BS‑IS),2003-11-13,Filipino,Single,Female,Mandaluyong,With Balance,20936,False,24,,3.5,Yes
21-1626,Human Resource Management (BSBA‑HRM),2001-11-20,Filipino,Single,Female,Caloocan,Paid,0,False,24,,4.0,Yes
21-2935,Cybersecurity (BSCSEC),2000-06-22,Filipino,Single,Female,Antipolo,With Balance,36536,False,15,,2.0,No
21-9215,Business Intelligence & Analytics (BSBA‑BIA),2003-12-21,Filipino,Single,Male,Malabon,With Balance,30676,False,18,,3.5,Yes
21-3622,Human Resource Management (BSBA‑HRM),2002-10-11,Filipino,Single,Female,Navotas,Paid,0,False,21,,3.0,Yes
21-1605,Human Resource Management (BSBA‑HRM),2002-12-19,Filipino,Single,Male,Muntinlupa,Paid,0,False,24,restrictions,4.0,No
21-5051,Business Solutions & Applications (BSBA‑BSAA),2001-04-05,Filipino,Single,Female,Marikina,Paid,0,False,18,,3.0,Yes
21-9777,Business Solutions & Applications (BSBA‑BSAA),2005-08-16,Filipino,Single,Male,Antipolo,With Balance,31172,False,21,restrictions,3.5,No
21-7777,Cybersecurity (BSCSEC),2007-07-22,Vietnamese,Single,Male,Pasig,Paid,0,False,18,,3.5,Yes
21-9032,Information Systems (BS‑IS),2006-04-01,Filipino,Single,Male,San Mateo,With Balance,29934,False,18,,3.5,Yes
21-3354,Human Resource Management (BSBA‑HRM),2007-09-20,Filipino,Single,Male,Parañaque,Paid,0,False,24,,2.0,No
21-7726,Human Resource Management (BSBA‑HRM),2004-12-16,Filipino,Single,Female,Muntinlupa,Paid,0,True,18,,4.0,Yes
21-1160,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-09-12,Filipino,Single,Male,San Mateo,Paid,0,False,21,,2.0,No
21-1418,Cybersecurity (BSCSEC),2005-09-04,Filipino,Single,Male,Taguig,Paid,0,True,24,,3.5,Yes
21-5259,Business Solutions & Applications (BSBA‑BSAA),2006-02-19,Filipino,Single,Female,Pasay,Paid,0,False,21,,3.5,Yes
21-4592,Business Solutions & Applications (BSBA‑BSAA),2007-08-09,Filipino,Single,Male,Caloocan,Paid,0,False,18,,2.0,No
21-8051,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-09-04,Filipino,Single,Male,Mandaluyong,Paid,0,False,24,,1.0,No
21-1823,Business Solutions & Applications (BSBA‑BSAA),2002-02-20,Filipino,Single,Male,Marikina,With Balance,10865,False,24,,3.0,Yes
21-7997,Business Intelligence & Analytics (BSBA‑BIA),2001-05-12,Filipino,Single,Male,Valenzuela,Paid,0,False,21,,3.0,Yes
21-2525,Human Resource Management (BSBA‑HRM),2004-08-24,Filipino,Single,Male,Cainta,Paid,0,False,21,,2.0,No
21-9289,Cybersecurity (BSCSEC),2005-11-28,Filipino,Single,Male,Bacoor,Paid,0,False,21,,3.0,Yes
21-7394,Business Intelligence & Analytics (BSBA‑BIA),2006-04-28,Filipino,Single,Female,Marikina,Paid,0,False,18,,4.0,Yes
21-3320,Business Solutions & Applications (BSBA‑BSAA),2004-09-15,Filipino,Single,Male,Cainta,Paid,0,True,24,,3.5,Yes
21-9812,Cybersecurity (BSCSEC),2003-03-24,Filipino,Single,Male,Quezon City,Paid,0,False,21,,4.0,Yes
21-4770,Human Resource Management (BSBA‑HRM),2005-05-02,Filipino,Single,Male,Marikina,Paid,0,False,24,restrictions,3.0,No
21-8689,Business Intelligence & Analytics (BSBA‑BIA),2002-04-20,Filipino,Single,Male,Valenzuela,Paid,0,False,18,,3.5,Yes
21-8738,Business Solutions & Applications (BSBA‑BSAA),2000-10-13,American,Single,Male,Taguig,With Balance,27214,False,24,,3.0,Yes
21-6328,Information Systems (BS‑IS),2002-12-26,Filipino,Single,Female,San Juan,Paid,0,True,24,,3.0,Yes
21-9445,Cybersecurity (BSCSEC),2006-07-14,Filipino,Single,Female,Antipolo,With Balance,10364,False,15,,3.5,Yes
21-6960,Information Systems (BS‑IS),2007-12-05,Filipino,Single,Male,Imus,Paid,0,True,24,,3.0,Yes
21-3417,Human Resource Management (BSBA‑HRM),2002-08-17,Filipino,Single,Male,Manila,Paid,0,False,15,,3.5,Yes
21-2983,Business Intelligence & Analytics (BSBA‑BIA),2007-06-07,Filipino,Single,Female,Mandaluyong,Paid,0,False,15,,3.0,Yes
21-8542,Information Systems (BS‑IS),2004-01-16,Filipino,Single,Male,San Mateo,Paid,0,False,24,,3.0,Yes
21-3325,Human Resource Management (BSBA‑HRM),2003-10-12,Filipino,Single,Male,Parañaque,Paid,0,True,18,,3.5,Yes
21-7806,Human Resource Management (BSBA‑HRM),2001-03-18,Filipino,Single,Male,San Mateo,Paid,0,False,18,,2.0,No
21-6465,Business Solutions & Applications (BSBA‑BSAA),2002-02-10,Japanese,Single,Male,Las Piñas,Paid,0,True,24,advising,4.0,No
21-7981,Information Systems (BS‑IS),2000-09-12,Filipino,Single,Female,Imus,Paid,0,False,24,,3.0,Yes
21-3025,Human Resource Management (BSBA‑HRM),2002-04-18,Filipino,Single,Female,Quezon City,Paid,0,False,21,,3.5,Yes
21-6828,Human Resource Management (BSBA‑HRM),2003-12-25,Filipino,Single,Male,Muntinlupa,With Balance,31924,False,24,,3.0,Yes
21-6796,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-01-06,Filipino,Single,Male,Manila,With Balance,36408,False,21,,4.0,Yes
21-6613,Human Resource Management (BSBA‑HRM),2004-06-26,Filipino,Single,Male,Pasig,Paid,0,False,21,advising,3.0,No
21-5963,Human Resource Management (BSBA‑HRM),2001-07-13,Filipino,Single,Female,Imus,Paid,0,False,21,,1.0,No
21-2463,Business Solutions & Applications (BSBA‑BSAA),2004-01-23,Filipino,Single,Female,Quezon City,Paid,0,True,21,,3.5,Yes
21-3257,Business Intelligence & Analytics (BSBA‑BIA),2007-01-13,Filipino,Single,Male,Bacoor,Paid,0,False,21,,3.5,Yes
21-6706,Cybersecurity (BSCSEC),2000-11-08,Filipino,Single,Male,Pasay,Paid,0,False,18,,3.5,Yes
21-9355,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-08-02,Filipino,Single,Female,Makati,With Balance,38546,False,18,,3.0,Yes
21-7667,Human Resource Management (BSBA‑HRM),2003-11-20,Filipino,Single,Male,Marikina,Paid,0,False,15,,1.0,No
21-9908,Cybersecurity (BSCSEC),2006-08-21,Filipino,Single,Female,Manila,Paid,0,False,24,restrictions,3.0,No
21-8337,Business Solutions & Applications (BSBA‑BSAA),2007-01-19,Filipino,Single,Female,Valenzuela,With Balance,13363,False,18,,4.0,Yes
21-9938,Business Solutions & Applications (BSBA‑BSAA),2001-11-06,Filipino,Single,Male,Pasay,Paid,0,False,24,,4.0,Yes
21-8195,Business Solutions & Applications (BSBA‑BSAA),2002-06-08,Filipino,Single,Female,Rodriguez,Paid,0,False,18,,2.0,No
21-6810,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-08-09,Filipino,Single,Female,Taguig,Paid,0,False,18,monitoring,3.0,No
21-2540,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-05-06,Filipino,Single,Male,Marikina,With Balance,24673,False,15,,3.5,Yes
21-5340,Business Solutions & Applications (BSBA‑BSAA),2001-06-06,Filipino,Single,Female,Imus,With Balance,14700,False,24,,3.5,Yes
21-7047,Business Solutions & Applications (BSBA‑BSAA),2001-04-24,Filipino,Single,Female,Cainta,With Balance,14424,False,15,,2.0,No
21-4151,Human Resource Management (BSBA‑HRM),2006-06-24,Filipino,Single,Female,Imus,With Balance,25920,False,21,,4.0,Yes
21-8152,Business Solutions & Applications (BSBA‑BSAA),2004-01-26,Filipino,Single,Male,Parañaque,Paid,0,False,21,,4.0,Yes
21-4235,Business Intelligence & Analytics (BSBA‑BIA),2006-12-05,Filipino,Single,Female,Taguig,Paid,0,False,15,,3.0,Yes
21-6760,Business Solutions & Applications (BSBA‑BSAA),2002-11-12,Filipino,Single,Female,Manila,With Balance,26492,False,15,,3.5,Yes
21-9611,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-08-06,Filipino,Single,Male,Caloocan,Paid,0,False,18,,4.0,Yes
21-9675,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-03-14,Filipino,Single,Male,Pasig,Paid,0,False,24,,3.5,Yes
21-5774,Human Resource Management (BSBA‑HRM),2005-09-26,Filipino,Single,Female,Pasay,Paid,0,False,24,,3.0,Yes
21-3474,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-05-20,Filipino,Single,Male,Valenzuela,Paid,0,False,24,,2.0,No
21-7607,Human Resource Management (BSBA‑HRM),2004-12-27,Filipino,Single,Female,San Juan,Paid,0,False,24,,4.0,Yes
21-4059,Business Intelligence & Analytics (BSBA‑BIA),2001-07-04,Filipino,Single,Male,Taguig,Paid,0,False,21,,4.0,Yes
21-4397,Human Resource Management (BSBA‑HRM),2003-04-07,Filipino,Single,Male,Antipolo,Paid,0,True,24,,3.0,Yes
21-1185,Business Intelligence & Analytics (BSBA‑BIA),2006-03-18,Filipino,Single,Male,Antipolo,Paid,0,False,21,,4.0,Yes
21-6793,Business Solutions & Applications (BSBA‑BSAA),2003-10-16,Filipino,Single,Female,San Juan,Paid,0,False,21,,4.0,Yes
21-7186,Cybersecurity (BSCSEC),2000-09-14,Filipino,Single,Female,Parañaque,Paid,0,True,24,advising,3.5,No
21-3860,Cybersecurity (BSCSEC),2004-08-18,Filipino,Single,Female,Taguig,Paid,0,False,18,,2.0,No
21-2626,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-06-02,Chinese,Single,Male,Antipolo,Paid,0,False,24,,2.0,No
21-9133,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-07-05,Filipino,Single,Male,Quezon City,Paid,0,False,21,,1.0,No
21-9699,Human Resource Management (BSBA‑HRM),2005-01-18,Filipino,Single,Female,San Mateo,Paid,0,False,18,advising,3.5,No
21-4703,Human Resource Management (BSBA‑HRM),2003-01-17,Filipino,Single,Female,Caloocan,Paid,0,False,15,,1.0,No
21-1428,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-12-22,Filipino,Single,Male,Malabon,Paid,0,True,18,,2.0,Yes
21-9068,Business Solutions & Applications (BSBA‑BSAA),2005-11-15,Filipino,Single,Male,Makati,Paid,0,False,15,,2.0,No
21-3501,Human Resource Management (BSBA‑HRM),2003-03-05,Filipino,Single,Male,Muntinlupa,Paid,0,False,18,,1.0,No
21-5845,Human Resource Management (BSBA‑HRM),2005-05-08,Filipino,Single,Female,Las Piñas,Paid,0,False,15,restrictions,2.0,No
21-3845,Cybersecurity (BSCSEC),2004-07-07,Filipino,Married,Male,Malabon,Paid,0,False,21,,3.5,Yes
21-6508,Human Resource Management (BSBA‑HRM),2007-06-02,Filipino,Single,Female,Quezon City,Paid,0,False,18,advising,4.0,No
21-2274,Cybersecurity (BSCSEC),2005-10-23,Filipino,Single,Male,San Juan,With Balance,32063,False,24,,3.5,Yes
21-2892,Business Intelligence & Analytics (BSBA‑BIA),2004-07-01,Filipino,Single,Male,Caloocan,Paid,0,False,24,,4.0,Yes
21-7278,Business Intelligence & Analytics (BSBA‑BIA),2003-02-13,Filipino,Single,Female,Pasay,Paid,0,False,15,,3.5,Yes
21-3558,Business Intelligence & Analytics (BSBA‑BIA),2000-02-16,Filipino,Single,Female,Muntinlupa,With Balance,11513,False,21,,3.0,Yes
21-6930,Business Intelligence & Analytics (BSBA‑BIA),2001-10-23,Filipino,Single,Female,Valenzuela,With Balance,17626,False,21,,3.5,Yes
21-4700,Human Resource Management (BSBA‑HRM),2005-02-16,Filipino,Single,Male,Marikina,Paid,0,False,15,,4.0,Yes
21-9638,Cybersecurity (BSCSEC),2006-08-04,Filipino,Single,Female,Manila,Paid,0,False,18,,3.5,Yes
